Size,Frequency of Purchases,Gender,Category,Location,Color,Season,Subscription Status,Payment Method,Shipping Type,Discount Applied,Preferred Payment Method,Age,Purchase Amount (USD),Review Rating,Previous Purchases
1,1,1,3,41,0,1,1,0,2,1,4,0.03846153846153849,1.0,0.6399999999999999,0.28571428571428564
2,5,1,0,34,10,0,1,4,5,1,4,0.13461538461538464,0.6125,0.4800000000000002,0.36734693877551017
0,6,1,0,16,19,2,1,0,2,1,4,0.40384615384615385,0.4125000000000001,0.8399999999999999,0.8979591836734693
3,1,1,1,41,9,0,1,5,0,1,4,0.6153846153846154,0.012500000000000011,0.15999999999999992,0.4897959183673469
2,2,1,1,4,23,2,1,5,5,1,1,0.7500000000000001,0.2875,0.15999999999999992,0.8979591836734693
1,6,1,0,25,4,3,1,3,2,1,1,0.7115384615384616,0.42500000000000004,0.8,0.7142857142857142
1,3,1,1,27,14,2,1,3,5,1,1,0.46153846153846156,0.4375,0.08000000000000007,0.7551020408163265
0,4,1,1,29,9,1,1,0,3,1,3,0.9615384615384616,0.125,0.8399999999999999,0.673469387755102
1,4,1,1,19,18,1,1,1,5,1,3,0.5961538461538463,0.10000000000000003,0.4800000000000002,0.7755102040816325
3,2,1,1,44,7,3,1,4,0,1,2,0.7884615384615384,0.48750000000000004,0.8800000000000001,0.12244897959183673
1,6,1,1,1,8,2,1,2,2,1,2,0.46153846153846156,0.0,0.040000000000000036,0.510204081632653
0,6,1,1,23,15,3,1,3,3,1,2,0.21153846153846156,0.050000000000000044,0.56,0.693877551020408
1,4,1,3,30,3,2,1,0,3,1,3,0.5576923076923077,0.925,0.6800000000000002,0.693877551020408
1,1,1,3,39,10,3,1,5,0,1,2,0.42307692307692313,0.10000000000000003,0.20000000000000018,0.9795918367346937
3,6,1,0,23,3,2,1,4,5,1,2,0.4423076923076924,0.6625000000000001,0.8800000000000001,0.9183673469387754
1,5,1,3,47,23,2,1,4,5,1,3,0.05769230769230771,0.55,0.7600000000000002,0.32653061224489793
1,3,1,1,24,4,2,1,2,2,1,5,0.980769230769231,0.42500000000000004,0.6800000000000002,0.5714285714285714
2,6,1,0,17,24,1,1,3,4,1,3,0.8653846153846155,0.7375,0.8399999999999999,0.061224489795918366
2,6,1,1,11,3,2,1,2,1,1,1,0.6153846153846154,0.21250000000000002,0.6000000000000001,0.32653061224489793
1,2,1,0,42,14,3,1,0,5,1,2,0.7115384615384616,0.6000000000000001,0.8800000000000001,0.4081632653061224
0,5,1,2,23,11,1,1,2,2,1,2,0.23076923076923084,0.012500000000000011,0.52,0.6122448979591836
2,6,1,0,2,10,3,1,2,0,1,2,0.28846153846153855,0.7375,0.08000000000000007,0.8571428571428571
0,5,1,2,0,8,0,1,4,4,1,3,0.9038461538461539,0.7875000000000001,0.9199999999999999,0.346938775510204
1,2,1,0,29,17,1,1,2,0,1,5,0.9038461538461539,0.2,0.9199999999999999,0.8775510204081631
0,2,1,1,37,11,3,1,0,0,1,5,0.25,0.925,0.8800000000000001,0.04081632653061225
2,3,1,3,6,7,3,1,4,5,1,3,0.5192307692307693,0.16250000000000003,0.7600000000000002,0.9795918367346937
2,2,1,0,43,19,2,1,2,3,1,1,0.7500000000000001,0.32500000000000007,0.56,0.4081632653061224
0,6,1,0,41,5,2,1,2,1,1,1,0.576923076923077,0.625,0.7600000000000002,0.08163265306122448
1,2,1,0,0,11,0,1,2,1,1,3,0.07692307692307698,0.11250000000000004,0.6800000000000002,0.6326530612244897
2,1,1,1,45,6,2,1,3,1,1,0,0.34615384615384615,0.3500000000000001,0.15999999999999992,0.673469387755102
1,2,1,1,9,13,3,1,3,5,1,0,0.0,0.07500000000000001,0.15999999999999992,0.4081632653061224
1,4,1,1,10,20,1,1,3,2,1,0,0.576923076923077,0.8125,0.08000000000000007,0.8571428571428571
2,3,1,0,13,22,1,1,4,1,1,1,0.5961538461538463,0.4750000000000001,0.8,0.04081632653061225
1,1,1,0,43,2,2,1,3,2,1,2,0.8846153846153847,0.8125,0.08000000000000007,0.4081632653061224
0,3,1,0,7,20,2,1,0,2,1,5,0.6153846153846154,0.2875,0.6800000000000002,0.6326530612244897
2,5,1,1,7,6,2,1,3,3,1,3,0.07692307692307698,0.4125000000000001,0.32000000000000006,0.7142857142857142
1,5,1,1,26,12,1,1,5,2,1,5,0.6153846153846154,0.8875,0.8800000000000001,1.0
1,2,1,3,14,13,3,1,0,0,1,0,0.3846153846153847,0.9500000000000002,0.040000000000000036,0.8571428571428571
3,2,1,2,31,2,2,1,2,5,1,2,0.019230769230769273,0.65,0.32000000000000006,0.4693877551020408
2,2,1,2,45,12,2,1,4,1,1,2,0.9423076923076924,0.9500000000000002,0.040000000000000036,0.7142857142857142
0,2,1,1,9,13,1,1,0,0,1,2,0.019230769230769273,0.10000000000000003,0.6000000000000001,0.4081632653061224
1,6,1,1,42,21,2,1,3,4,1,0,0.34615384615384615,0.25,0.6399999999999999,0.673469387755102
0,2,1,3,2,15,1,1,1,4,1,0,0.6538461538461539,0.15000000000000002,0.7600000000000002,0.836734693877551
1,4,1,0,30,4,3,1,2,3,1,3,0.6730769230769232,0.9375,0.8,0.02040816326530612
2,4,1,1,27,16,1,1,5,0,1,1,0.11538461538461542,0.26250000000000007,0.4800000000000002,0.9387755102040816
1,5,1,2,34,8,0,1,3,0,1,3,0.6538461538461539,0.4125000000000001,0.4800000000000002,0.8775510204081631
1,3,1,1,49,14,0,1,2,2,1,2,0.28846153846153855,0.3375,0.40000000000000013,0.693877551020408
3,2,1,3,4,16,0,1,0,3,1,1,0.5576923076923077,0.7875000000000001,0.44000000000000017,0.28571428571428564
2,3,1,0,39,22,2,1,5,1,1,2,0.13461538461538464,0.3500000000000001,0.15999999999999992,0.5714285714285714
0,2,1,0,39,8,3,1,4,4,1,2,0.5000000000000001,0.9875,0.8399999999999999,0.346938775510204
1,2,1,3,42,13,3,1,1,0,1,5,0.826923076923077,0.8375000000000001,0.7600000000000002,0.24489795918367344
1,6,1,1,8,17,0,1,4,4,1,2,0.3653846153846154,0.525,0.8,0.9183673469387754
0,6,1,1,27,19,1,1,0,2,1,2,0.7692307692307693,0.7000000000000001,0.8399999999999999,0.5510204081632653
2,3,1,2,24,16,0,1,4,2,1,4,0.3653846153846154,1.0,0.52,0.9591836734693877
0,2,1,0,7,6,1,1,5,1,1,5,0.2692307692307693,0.6625000000000001,0.44000000000000017,0.8571428571428571
1,1,1,2,45,20,3,1,4,5,1,1,0.05769230769230771,0.9000000000000001,0.9199999999999999,0.7346938775510203
3,1,1,1,31,20,1,1,1,3,1,0,0.03846153846153849,0.5875,0.040000000000000036,0.38775510204081626
3,2,1,1,24,9,2,1,1,1,1,3,0.15384615384615385,0.25,0.4800000000000002,0.6530612244897959
1,5,1,0,40,12,0,1,4,1,1,1,0.8461538461538461,0.9750000000000001,0.08000000000000007,0.6122448979591836
3,4,1,3,33,23,1,1,5,1,1,2,0.17307692307692313,0.8125,0.8399999999999999,1.0
2,2,1,1,35,22,3,1,2,3,1,2,0.6346153846153847,0.5875,0.9199999999999999,0.693877551020408
2,4,1,2,47,18,3,1,3,3,1,5,0.6923076923076924,0.8625,0.6000000000000001,0.4285714285714285
2,3,1,0,28,16,1,1,0,0,1,4,0.7115384615384616,0.050000000000000044,0.7600000000000002,0.0
1,1,1,0,31,4,0,1,0,3,1,0,0.980769230769231,0.9500000000000002,0.44000000000000017,0.061224489795918366
2,3,1,3,22,23,2,1,1,4,1,2,0.8846153846153847,0.1875,0.4800000000000002,0.6122448979591836
2,5,1,2,19,13,3,1,1,3,1,4,0.1923076923076924,0.5875,0.2400000000000002,0.9183673469387754
2,4,1,1,25,17,1,1,0,3,1,0,1.0,0.7375,0.3600000000000001,0.6326530612244897
1,5,1,1,0,22,1,1,1,3,1,0,0.7692307692307693,0.8125,0.040000000000000036,0.8571428571428571
1,5,1,0,31,1,2,1,0,4,1,5,0.730769230769231,0.07500000000000001,0.6000000000000001,0.510204081632653
2,1,1,0,20,17,2,1,4,2,1,2,0.15384615384615385,0.6875,1.0,0.16326530612244897
1,4,1,0,8,18,1,1,2,2,1,4,0.3653846153846154,0.5625,0.72,0.5510204081632653
2,2,1,0,29,12,3,1,3,3,1,4,0.5000000000000001,0.42500000000000004,0.2400000000000002,0.38775510204081626
0,6,1,3,20,2,2,1,5,5,1,1,1.0,0.9375,0.4800000000000002,0.16326530612244897
1,2,1,1,49,7,1,1,1,4,1,3,0.6730769230769232,0.925,0.52,0.9591836734693877
0,1,1,2,45,2,1,1,4,2,1,5,0.7115384615384616,0.825,0.3600000000000001,0.22448979591836735
2,5,1,2,40,24,2,1,0,1,1,1,0.6153846153846154,0.15000000000000002,0.8399999999999999,0.5714285714285714
2,4,1,1,16,14,0,1,0,0,1,1,0.6153846153846154,0.3125,0.9199999999999999,0.5306122448979591
1,1,1,3,49,14,0,1,3,1,1,1,0.3846153846153847,0.7000000000000001,0.72,0.8775510204081631
2,1,1,0,47,18,2,1,4,1,1,0,0.8846153846153847,0.8,0.6000000000000001,0.6326530612244897
1,5,1,1,45,13,3,1,1,4,1,1,0.019230769230769273,0.65,0.6800000000000002,0.2040816326530612
2,5,1,0,46,3,1,1,2,0,1,1,0.42307692307692313,0.25,0.9199999999999999,0.8775510204081631
2,6,1,1,17,3,0,1,3,2,1,1,0.7500000000000001,0.8625,0.2400000000000002,0.9183673469387754
1,1,1,1,27,7,1,1,4,3,1,4,0.5000000000000001,0.825,0.2400000000000002,1.0
1,2,1,1,4,9,3,1,1,3,1,5,0.5961538461538463,0.42500000000000004,0.44000000000000017,0.8979591836734693
2,2,1,1,23,16,1,1,0,5,1,1,0.48076923076923084,0.2,0.56,0.9591836734693877
1,6,1,1,23,7,3,1,5,3,1,2,0.11538461538461542,0.8625,0.9199999999999999,0.510204081632653
1,5,1,0,4,6,1,1,5,4,1,2,0.03846153846153849,0.15000000000000002,0.8800000000000001,0.4081632653061224
3,4,1,1,37,13,2,1,1,0,1,4,0.11538461538461542,0.5875,0.6800000000000002,0.9795918367346937
2,5,1,0,16,22,0,1,2,3,1,4,0.5000000000000001,0.23750000000000004,0.4800000000000002,0.24489795918367344
2,6,1,1,18,9,2,1,4,4,1,2,0.1923076923076924,0.11250000000000004,0.56,0.9183673469387754
1,6,1,0,30,14,0,1,0,0,1,4,0.23076923076923084,0.4750000000000001,0.8800000000000001,0.836734693877551
1,1,1,1,25,22,3,1,0,3,1,5,0.6538461538461539,0.5625,0.0,0.4897959183673469
2,3,1,0,42,7,0,1,2,5,1,1,0.48076923076923084,0.925,0.9600000000000002,0.4897959183673469
1,2,1,2,15,17,0,1,4,1,1,4,0.48076923076923084,0.7625,0.6399999999999999,0.22448979591836735
1,2,1,1,39,23,3,1,2,2,1,3,0.40384615384615385,0.825,0.32000000000000006,0.061224489795918366
1,6,1,2,5,21,1,1,1,2,1,4,0.9615384615384616,0.2875,0.8800000000000001,0.7551020408163265
1,6,1,1,9,12,3,1,1,5,1,0,0.9615384615384616,0.11250000000000004,0.7600000000000002,0.836734693877551
1,1,1,3,8,23,0,1,3,5,1,5,0.5961538461538463,0.9375,0.52,0.5918367346938774
2,6,1,1,32,24,0,1,0,0,1,2,0.8653846153846155,0.10000000000000003,0.56,1.0
1,6,1,0,45,21,0,1,4,2,1,4,0.730769230769231,0.32500000000000007,0.9600000000000002,0.8979591836734693
2,5,1,3,26,22,0,1,4,2,1,2,0.3653846153846154,0.4750000000000001,0.2400000000000002,0.6530612244897959
1,2,1,3,24,0,0,1,0,5,1,4,0.23076923076923084,0.3500000000000001,0.08000000000000007,0.4897959183673469
1,3,1,2,29,19,0,1,2,1,1,1,0.019230769230769273,0.2875,0.28000000000000025,0.4897959183673469
1,2,1,0,24,20,0,1,5,4,1,3,0.11538461538461542,0.9375,0.8,0.8775510204081631
0,5,1,1,5,1,0,1,3,4,1,5,0.6538461538461539,0.125,0.6000000000000001,0.4081632653061224
1,5,1,2,11,17,2,1,0,0,1,0,0.8653846153846155,0.55,0.40000000000000013,0.6122448979591836
1,1,1,0,49,7,0,1,4,5,1,3,0.3653846153846154,0.875,0.040000000000000036,0.9387755102040816
1,3,1,1,7,23,2,1,5,2,1,4,0.3846153846153847,0.7000000000000001,0.28000000000000025,0.26530612244897955
2,2,1,2,4,5,0,1,0,4,1,3,0.326923076923077,0.9500000000000002,0.9600000000000002,0.32653061224489793
2,1,1,0,33,21,0,1,3,3,1,5,0.1923076923076924,0.3375,0.8,0.04081632653061225
0,1,1,1,39,3,2,1,4,1,1,5,0.23076923076923084,0.8125,0.72,0.836734693877551
1,1,1,1,32,12,3,1,3,4,1,3,0.980769230769231,0.4375,0.28000000000000025,0.4285714285714285
1,2,1,1,35,4,0,1,3,3,1,5,0.4423076923076924,0.9750000000000001,0.44000000000000017,0.4081632653061224
0,2,1,1,18,13,1,1,1,2,1,0,0.8653846153846155,0.7125,0.72,0.4081632653061224
1,1,1,1,24,10,0,1,5,4,1,3,0.326923076923077,0.07500000000000001,0.6000000000000001,0.7959183673469387
0,5,1,0,44,24,0,1,3,3,1,0,0.34615384615384615,0.6000000000000001,0.20000000000000018,0.0
3,3,1,1,6,20,0,1,0,4,1,0,0.13461538461538464,0.6625000000000001,0.6399999999999999,1.0
1,2,1,0,28,4,0,1,3,5,1,0,0.7692307692307693,0.08750000000000002,0.52,0.7755102040816325
1,3,1,0,42,14,2,1,0,2,1,5,0.17307692307692313,0.03750000000000003,0.8399999999999999,0.673469387755102
1,5,1,0,33,13,0,1,5,1,1,5,0.9038461538461539,0.36250000000000004,0.20000000000000018,0.5714285714285714
1,4,1,0,4,21,2,1,2,5,1,4,0.6923076923076924,0.675,0.20000000000000018,0.6122448979591836
1,6,1,1,45,17,2,1,4,4,1,3,0.6923076923076924,0.5875,0.3600000000000001,0.14285714285714285
0,5,1,0,7,17,1,1,3,2,1,2,0.7884615384615384,0.5625,0.040000000000000036,0.08163265306122448
0,3,1,0,16,24,3,1,2,5,1,1,0.46153846153846156,0.5,0.11999999999999988,0.12244897959183673
3,3,1,2,7,9,0,1,1,5,1,1,0.5384615384615385,0.1375,0.6000000000000001,0.5918367346938774
1,2,1,0,3,8,0,1,5,1,1,2,0.28846153846153855,0.08750000000000002,0.6000000000000001,0.26530612244897955
1,5,1,2,17,11,2,1,0,1,1,1,0.3076923076923077,0.75,0.20000000000000018,0.08163265306122448
0,2,1,3,27,6,2,1,2,4,1,4,0.17307692307692313,0.125,0.32000000000000006,0.04081632653061225
1,4,1,1,49,12,0,1,5,5,1,5,0.6538461538461539,0.0625,0.040000000000000036,0.9183673469387754
1,6,1,1,45,2,2,1,3,5,1,2,0.21153846153846156,0.1875,0.44000000000000017,0.061224489795918366
1,4,1,0,26,22,2,1,0,3,1,2,0.6923076923076924,0.5875,0.56,0.836734693877551
1,1,1,0,10,21,0,1,4,4,1,1,0.13461538461538464,0.32500000000000007,0.3600000000000001,0.5918367346938774
2,1,1,2,44,3,3,1,5,1,1,5,0.4423076923076924,0.1875,0.40000000000000013,0.7346938775510203
2,1,1,3,35,22,0,1,3,3,1,0,0.6730769230769232,0.825,0.11999999999999988,0.02040816326530612
2,2,1,0,28,1,1,1,0,3,1,2,0.6730769230769232,0.7625,0.08000000000000007,0.5918367346938774
2,3,1,1,15,11,0,1,3,3,1,0,0.05769230769230771,0.275,0.4800000000000002,0.9387755102040816
2,2,1,1,11,10,0,1,3,0,1,4,0.826923076923077,0.2875,0.72,0.4081632653061224
1,5,1,2,12,22,0,1,3,5,1,0,0.8846153846153847,0.1375,0.9600000000000002,0.16326530612244897
2,5,1,2,40,8,0,1,1,5,1,3,0.6346153846153847,0.7625,0.32000000000000006,0.22448979591836735
1,6,1,1,20,0,2,1,5,3,1,0,0.2692307692307693,0.5125000000000001,0.8800000000000001,0.061224489795918366
3,1,1,0,0,17,2,1,5,5,1,3,0.3846153846153847,0.9500000000000002,0.11999999999999988,0.18367346938775508
3,6,1,1,34,0,1,1,0,0,1,2,0.7692307692307693,0.11250000000000004,0.44000000000000017,0.510204081632653
2,5,1,2,10,5,1,1,1,1,1,1,0.2692307692307693,0.16250000000000003,0.20000000000000018,0.7959183673469387
3,5,1,1,48,19,2,1,0,5,1,0,0.5384615384615385,0.15000000000000002,0.8,0.673469387755102
0,1,1,0,22,10,2,1,3,4,1,3,0.40384615384615385,0.45000000000000007,0.15999999999999992,0.6122448979591836
0,4,1,2,9,17,1,1,2,5,1,0,0.019230769230769273,0.925,0.32000000000000006,0.0
1,4,1,1,3,16,1,1,2,1,1,0,0.6153846153846154,0.4125000000000001,0.2400000000000002,0.08163265306122448
1,6,1,1,47,12,0,1,5,3,1,2,0.34615384615384615,0.7750000000000001,0.7600000000000002,0.061224489795918366
3,2,1,3,13,0,0,1,5,2,1,5,0.9038461538461539,0.625,0.20000000000000018,0.9591836734693877
1,2,1,0,43,7,0,1,2,2,1,1,0.8846153846153847,0.7000000000000001,0.56,0.5714285714285714
2,4,1,2,26,21,2,1,5,1,1,4,0.5384615384615385,0.11250000000000004,0.15999999999999992,0.22448979591836735
0,1,1,0,33,19,0,1,4,4,1,5,0.34615384615384615,1.0,0.20000000000000018,0.5714285714285714
1,2,1,0,24,13,1,1,5,1,1,3,0.6346153846153847,0.925,0.2400000000000002,0.28571428571428564
1,3,1,3,31,11,0,1,2,2,1,2,0.6346153846153847,0.0625,0.72,0.673469387755102
1,5,1,2,46,10,2,1,1,3,1,2,0.3846153846153847,0.8500000000000001,0.56,0.8163265306122448
1,3,1,0,39,1,0,1,3,0,1,2,0.7884615384615384,0.7250000000000001,0.28000000000000025,0.8163265306122448
1,5,1,0,43,21,3,1,1,4,1,2,0.7500000000000001,0.3125,0.9199999999999999,0.7755102040816325
3,6,1,0,11,8,2,1,3,1,1,1,0.6923076923076924,0.6625000000000001,0.52,0.6326530612244897
0,3,1,1,37,20,2,1,4,3,1,5,0.13461538461538464,0.5125000000000001,0.32000000000000006,0.5714285714285714
0,1,1,1,24,0,0,1,0,2,1,0,0.980769230769231,0.025000000000000022,0.72,0.28571428571428564
2,1,1,0,26,11,1,1,0,1,1,5,0.7500000000000001,0.22500000000000003,0.08000000000000007,0.6530612244897959
0,6,1,0,13,24,0,1,4,3,1,0,1.0,0.22500000000000003,0.28000000000000025,0.346938775510204
1,4,1,2,2,24,0,1,4,5,1,1,0.11538461538461542,1.0,0.6000000000000001,0.693877551020408
1,6,1,1,10,19,3,1,0,4,1,4,0.9423076923076924,0.55,0.20000000000000018,0.4897959183673469
2,5,1,1,48,19,2,1,5,2,1,5,0.11538461538461542,0.4375,0.6800000000000002,0.10204081632653061
1,4,1,0,38,19,2,1,5,1,1,0,0.8461538461538461,0.8875,0.15999999999999992,0.32653061224489793
1,3,1,1,48,6,1,1,1,5,1,2,0.7500000000000001,0.22500000000000003,0.6399999999999999,0.32653061224489793
0,2,1,2,22,13,3,1,0,5,1,1,0.7115384615384616,0.9625000000000001,0.28000000000000025,0.8775510204081631
2,5,1,3,44,20,0,1,5,0,1,4,0.5192307692307693,0.025000000000000022,0.20000000000000018,0.10204081632653061
2,5,1,1,40,12,0,1,5,0,1,3,0.980769230769231,0.9000000000000001,0.6800000000000002,0.8979591836734693
2,1,1,0,45,2,0,1,5,1,1,3,0.9423076923076924,0.8,0.6800000000000002,0.12244897959183673
2,2,1,0,27,15,0,1,1,5,1,3,0.23076923076923084,0.9125000000000001,0.7600000000000002,0.2040816326530612
2,2,1,3,10,2,2,1,1,3,1,1,0.11538461538461542,0.375,0.6800000000000002,0.8163265306122448
0,4,1,0,29,14,1,1,0,0,1,4,0.8461538461538461,0.55,0.11999999999999988,0.4693877551020408
2,6,1,1,20,24,1,1,1,2,1,5,0.48076923076923084,0.5125000000000001,0.4800000000000002,0.4081632653061224
1,1,1,0,35,17,3,1,5,3,1,0,0.326923076923077,0.3500000000000001,0.40000000000000013,0.4693877551020408
0,2,1,1,4,11,1,1,2,5,1,2,0.1923076923076924,0.3125,0.15999999999999992,0.14285714285714285
1,5,1,0,27,5,1,1,5,2,1,1,0.2692307692307693,0.8500000000000001,0.20000000000000018,0.22448979591836735
0,5,1,2,2,9,1,1,3,1,1,3,0.40384615384615385,0.4625,0.4800000000000002,0.9591836734693877
3,2,1,0,32,11,2,1,3,5,1,0,0.1923076923076924,0.6000000000000001,0.7600000000000002,0.10204081632653061
3,5,1,0,31,7,1,1,5,0,1,4,0.5576923076923077,0.925,0.8,0.26530612244897955
1,1,1,1,49,21,1,1,5,2,1,4,0.03846153846153849,0.26250000000000007,0.9199999999999999,0.673469387755102
0,2,1,1,40,0,2,1,4,2,1,1,0.8653846153846155,0.7875000000000001,0.15999999999999992,0.22448979591836735
1,1,1,3,3,13,1,1,3,3,1,0,0.13461538461538464,0.025000000000000022,0.28000000000000025,0.2040816326530612
2,3,1,2,42,22,1,1,1,2,1,4,0.21153846153846156,0.675,0.32000000000000006,0.08163265306122448
1,5,1,1,38,21,3,1,5,4,1,5,0.6153846153846154,0.875,0.6800000000000002,0.4897959183673469
1,1,1,1,28,23,1,1,2,5,1,2,0.0,0.7375,0.15999999999999992,0.2040816326530612
0,2,1,2,34,19,1,1,1,3,1,4,1.0,0.10000000000000003,0.8399999999999999,0.5306122448979591
2,1,1,0,43,13,0,1,5,4,1,2,0.9230769230769232,0.8500000000000001,0.6399999999999999,0.8571428571428571
1,2,1,1,41,2,1,1,0,0,1,3,0.1923076923076924,0.07500000000000001,0.2400000000000002,0.346938775510204
2,4,1,0,10,17,3,1,0,1,1,0,0.6923076923076924,0.08750000000000002,0.6800000000000002,0.6326530612244897
3,2,1,1,2,24,0,1,4,3,1,0,0.019230769230769273,0.7875000000000001,0.8,0.5306122448979591
0,6,1,0,40,19,2,1,4,3,1,2,0.03846153846153849,0.23750000000000004,0.4800000000000002,0.4693877551020408
1,2,1,0,29,5,3,1,1,2,1,3,0.48076923076923084,0.8625,0.4800000000000002,0.6122448979591836
2,5,1,3,33,8,3,1,3,3,1,4,0.3846153846153847,0.6000000000000001,0.3600000000000001,0.7755102040816325
1,5,1,1,14,0,2,1,5,5,1,3,0.6153846153846154,0.875,0.20000000000000018,0.7142857142857142
1,1,1,1,34,15,0,1,3,2,1,1,0.8846153846153847,0.17500000000000004,0.6800000000000002,0.08163265306122448
2,4,1,1,44,24,2,1,4,1,1,2,0.5961538461538463,0.38750000000000007,0.15999999999999992,0.9387755102040816
3,5,1,1,25,21,3,1,2,2,1,0,0.5576923076923077,0.3125,0.40000000000000013,0.5714285714285714
1,4,1,1,7,15,3,1,4,2,1,5,0.34615384615384615,0.8500000000000001,0.6399999999999999,0.8571428571428571
2,2,1,3,31,7,2,1,2,5,1,3,0.7115384615384616,0.8125,0.72,0.7959183673469387
1,3,1,0,16,13,3,1,2,0,1,3,0.13461538461538464,1.0,0.11999999999999988,0.061224489795918366
0,6,1,0,36,9,1,1,3,0,1,4,0.6730769230769232,0.275,0.9600000000000002,0.7755102040816325
