Age,Gender,Category,Purchase Amount (USD),Location,Size,Color,Season,Review Rating,Subscription Status,Payment Method,Shipping Type,Discount Applied,Previous Purchases,Preferred Payment Method,Frequency of Purchases
29,Male,Clothing,37,Florida,M,Red,Winter,3.7,Yes,Debit Card,2-Day Shipping,Yes,44,Venmo,Every 3 Months
70,Male,Clothing,60,Arizona,S,Turquoise,Summer,4.2,Yes,Bank Transfer,Express,Yes,18,Credit Card,Monthly
69,Male,Accessories,76,Louisiana,L,Beige,Winter,4.6,Yes,PayPal,Next Day Air,Yes,31,Debit Card,Quarterly
67,Male,Accessories,39,Alaska,M,Orange,Spring,4.5,Yes,Cash,Standard,Yes,40,Venmo,Annually
20,Male,Outerwear,100,Tennessee,M,Beige,Spring,4.1,Yes,Bank Transfer,Free Shipping,Yes,15,PayPal,Annually
25,Male,Accessories,69,Ohio,L,Lavender,Fall,3.7,Yes,PayPal,Store Pickup,Yes,19,PayPal,Fortnightly
39,Male,Accessories,53,Kentucky,S,Silver,Summer,4.6,Yes,Bank Transfer,Free Shipping,Yes,45,PayPal,Weekly
50,Male,Clothing,21,Tennessee,XL,Indigo,Fall,2.9,Yes,Venmo,2-Day Shipping,Yes,25,PayPal,Annually
57,Male,Clothing,43,California,L,White,Summer,2.9,Yes,Venmo,Store Pickup,Yes,45,Cash,Quarterly
55,Male,Accessories,54,Montana,M,Charcoal,Winter,4.5,Yes,Debit Card,Free Shipping,Yes,36,Cash,Weekly
42,Male,Clothing,55,Nevada,M,Orange,Summer,2.7,Yes,Debit Card,Store Pickup,Yes,38,Cash,Monthly
68,Male,Clothing,30,New Jersey,S,Indigo,Spring,4.6,Yes,Bank Transfer,Next Day Air,Yes,34,Debit Card,Bi-Weekly
49,Male,Clothing,28,Maryland,M,Red,Spring,3.7,Yes,Cash,Store Pickup,Yes,39,Debit Card,Bi-Weekly
59,Male,Clothing,59,Vermont,XL,Gray,Winter,4.7,Yes,PayPal,2-Day Shipping,Yes,7,Credit Card,Quarterly
42,Male,Clothing,20,Alaska,M,Green,Summer,2.6,Yes,Credit Card,Free Shipping,Yes,26,Credit Card,Weekly
29,Male,Clothing,24,Mississippi,S,Peach,Winter,3.9,Yes,Debit Card,Next Day Air,Yes,35,Credit Card,Weekly
47,Male,Outerwear,94,New Mexico,M,Brown,Summer,4.2,Yes,Bank Transfer,Next Day Air,Yes,35,Debit Card,Bi-Weekly
40,Male,Outerwear,28,South Carolina,M,Lavender,Winter,3.0,Yes,Venmo,2-Day Shipping,Yes,49,Credit Card,Annually
41,Male,Accessories,73,Mississippi,XL,Brown,Summer,4.7,Yes,PayPal,Store Pickup,Yes,46,Credit Card,Weekly
21,Male,Outerwear,64,West Virginia,M,White,Summer,4.4,Yes,PayPal,Store Pickup,Yes,17,Debit Card,Fortnightly
69,Male,Clothing,54,Missouri,M,Charcoal,Summer,4.2,Yes,Credit Card,Free Shipping,Yes,29,Venmo,Monthly
63,Male,Accessories,79,Louisiana,L,Yellow,Spring,4.6,Yes,Debit Card,Standard,Yes,4,Debit Card,Weekly
50,Male,Clothing,37,Idaho,L,Brown,Summer,4.0,Yes,Credit Card,Express,Yes,17,Cash,Weekly
55,Male,Accessories,68,Texas,M,Orange,Winter,4.7,Yes,Bank Transfer,Store Pickup,Yes,21,Credit Card,Every 3 Months
30,Male,Footwear,21,Mississippi,S,Magenta,Spring,3.8,Yes,Credit Card,Free Shipping,Yes,31,Credit Card,Fortnightly
33,Male,Accessories,79,Arizona,L,Lavender,Winter,2.7,Yes,Credit Card,2-Day Shipping,Yes,43,Credit Card,Weekly
65,Male,Footwear,83,Alabama,S,Green,Fall,4.8,Yes,PayPal,Standard,Yes,18,Debit Card,Fortnightly
65,Male,Accessories,36,New Jersey,M,Purple,Spring,4.8,Yes,Credit Card,2-Day Shipping,Yes,44,Venmo,Every 3 Months
31,Male,Clothing,94,Pennsylvania,S,Magenta,Winter,4.7,Yes,Bank Transfer,2-Day Shipping,Yes,3,Venmo,Every 3 Months
45,Male,Outerwear,33,Connecticut,L,Gray,Winter,4.4,Yes,PayPal,Store Pickup,Yes,49,Debit Card,Monthly
57,Male,Accessories,46,Utah,L,Silver,Summer,3.9,Yes,Credit Card,Next Day Air,Yes,21,Cash,Every 3 Months
48,Male,Accessories,70,Tennessee,S,Cyan,Summer,4.4,Yes,Credit Card,Express,Yes,5,Cash,Weekly
22,Male,Accessories,29,Alabama,M,Magenta,Fall,4.2,Yes,Credit Card,Express,Yes,32,Debit Card,Every 3 Months
36,Male,Clothing,48,Virginia,L,Gold,Summer,2.9,Yes,Debit Card,Express,Yes,34,Bank Transfer,Annually
18,Male,Clothing,26,Georgia,M,Olive,Winter,2.9,Yes,Debit Card,Store Pickup,Yes,21,Bank Transfer,Every 3 Months
48,Male,Clothing,85,Hawaii,M,Teal,Spring,2.7,Yes,Debit Card,Free Shipping,Yes,43,Bank Transfer,Bi-Weekly
49,Male,Accessories,58,Indiana,L,Violet,Spring,4.5,Yes,PayPal,Express,Yes,3,Cash,Monthly
64,Male,Accessories,85,Utah,M,Blue,Summer,2.7,Yes,Debit Card,Free Shipping,Yes,21,Credit Card,Annually
50,Male,Accessories,43,Delaware,S,Teal,Summer,4.2,Yes,Bank Transfer,Free Shipping,Yes,32,Venmo,Monthly
22,Male,Clothing,53,Delaware,L,Gold,Summer,3.3,Yes,Debit Card,Next Day Air,Yes,36,Debit Card,Fortnightly
50,Male,Clothing,91,Nebraska,M,Maroon,Spring,4.7,Yes,Venmo,Free Shipping,Yes,50,Venmo,Fortnightly
38,Male,Outerwear,96,Iowa,M,Olive,Winter,2.6,Yes,Bank Transfer,2-Day Shipping,Yes,43,Bank Transfer,Every 3 Months
19,Male,Footwear,72,New York,XL,Blue,Summer,3.3,Yes,Credit Card,Store Pickup,Yes,24,Credit Card,Every 3 Months
67,Male,Footwear,96,Virginia,L,Maroon,Summer,2.6,Yes,PayPal,Express,Yes,36,Credit Card,Every 3 Months
19,Male,Clothing,28,Georgia,S,Olive,Spring,4.0,Yes,Bank Transfer,2-Day Shipping,Yes,21,Credit Card,Every 3 Months
36,Male,Clothing,40,Texas,M,Turquoise,Summer,4.1,Yes,Debit Card,Standard,Yes,34,Bank Transfer,Weekly
52,Male,Outerwear,32,Arizona,S,Peach,Spring,4.4,Yes,Cash,Standard,Yes,42,Bank Transfer,Every 3 Months
53,Male,Accessories,95,New Mexico,M,Charcoal,Winter,4.5,Yes,Credit Card,Next Day Air,Yes,2,Debit Card,Bi-Weekly
24,Male,Clothing,41,Nevada,L,Pink,Spring,3.7,Yes,Venmo,2-Day Shipping,Yes,47,Cash,Bi-Weekly
52,Male,Footwear,53,Ohio,M,Green,Fall,3.7,Yes,Debit Card,2-Day Shipping,Yes,44,Debit Card,Fortnightly
33,Male,Clothing,47,Wyoming,M,Orange,Fall,3.5,Yes,Credit Card,Free Shipping,Yes,35,Credit Card,Monthly
47,Male,Outerwear,83,California,XL,Pink,Fall,3.6,Yes,Bank Transfer,Next Day Air,Yes,15,Cash,Quarterly
25,Male,Accessories,48,South Carolina,L,Violet,Summer,2.9,Yes,Venmo,Express,Yes,29,Credit Card,Monthly
44,Male,Accessories,99,South Carolina,S,Green,Winter,4.6,Yes,PayPal,Standard,Yes,18,Credit Card,Every 3 Months
61,Male,Outerwear,87,Texas,M,Olive,Winter,4.4,Yes,Cash,2-Day Shipping,Yes,13,Venmo,Every 3 Months
37,Male,Clothing,62,Florida,M,Purple,Fall,4.5,Yes,PayPal,Standard,Yes,46,Credit Card,Weekly
58,Male,Clothing,76,Nevada,S,Silver,Spring,4.6,Yes,Bank Transfer,Free Shipping,Yes,28,Credit Card,Weekly
37,Male,Footwear,100,Missouri,L,Pink,Fall,3.8,Yes,PayPal,Free Shipping,Yes,48,PayPal,Monthly
32,Male,Accessories,73,Delaware,S,Gold,Spring,3.6,Yes,Venmo,Express,Yes,43,Venmo,Every 3 Months
21,Male,Footwear,92,Virginia,M,Teal,Winter,4.8,Yes,PayPal,Store Pickup,Yes,37,Cash,Annually
20,Male,Clothing,67,New York,XL,Teal,Spring,2.6,Yes,Cash,Next Day Air,Yes,20,Bank Transfer,Annually
26,Male,Clothing,40,Missouri,XL,Indigo,Summer,3.7,Yes,Cash,Express,Yes,33,Debit Card,Quarterly
62,Male,Accessories,98,South Dakota,M,Maroon,Fall,2.7,Yes,PayPal,Express,Yes,31,Cash,Fortnightly
27,Male,Outerwear,85,North Dakota,XL,White,Spring,4.6,Yes,Venmo,Express,Yes,50,Credit Card,Bi-Weekly
51,Male,Clothing,67,Oklahoma,L,Violet,Winter,4.8,Yes,Credit Card,Next Day Air,Yes,35,Credit Card,Quarterly
54,Male,Footwear,89,West Virginia,L,Red,Winter,4.0,Yes,Debit Card,Next Day Air,Yes,22,Venmo,Bi-Weekly
55,Male,Accessories,24,New Hampshire,L,Pink,Spring,4.4,Yes,Bank Transfer,2-Day Shipping,Yes,1,PayPal,Monthly
69,Male,Accessories,96,New York,M,Charcoal,Fall,3.6,Yes,Bank Transfer,Next Day Air,Yes,4,Bank Transfer,Annually
64,Male,Outerwear,35,Minnesota,L,White,Summer,3.7,Yes,Cash,Standard,Yes,31,Credit Card,Monthly
28,Male,Footwear,67,Maryland,L,Olive,Winter,3.1,Yes,Cash,Next Day Air,Yes,46,PayPal,Fortnightly
70,Male,Clothing,79,Montana,L,Purple,Spring,3.4,Yes,Bank Transfer,Next Day Air,Yes,32,Bank Transfer,Bi-Weekly
58,Male,Clothing,85,Alabama,M,Violet,Spring,2.6,Yes,Cash,Next Day Air,Yes,43,Bank Transfer,Fortnightly
56,Male,Accessories,26,New York,M,Black,Summer,4.0,Yes,Bank Transfer,Standard,Yes,26,Venmo,Fortnightly
26,Male,Accessories,75,Massachusetts,L,Purple,Summer,5.0,Yes,PayPal,Free Shipping,Yes,9,Credit Card,Annually
37,Male,Accessories,65,Florida,M,Red,Spring,4.3,Yes,Credit Card,Free Shipping,Yes,28,PayPal,Bi-Weekly
44,Male,Accessories,54,New Jersey,L,Maroon,Winter,3.1,Yes,Debit Card,Next Day Air,Yes,20,PayPal,Quarterly
70,Male,Outerwear,95,Massachusetts,S,Blue,Summer,3.7,Yes,Venmo,Store Pickup,Yes,9,Cash,Weekly
53,Male,Clothing,94,Wyoming,M,Gray,Spring,3.8,Yes,Cash,Standard,Yes,48,Debit Card,Every 3 Months
55,Male,Footwear,86,Virginia,S,Blue,Spring,3.4,Yes,PayPal,Free Shipping,Yes,12,Venmo,Annually
50,Male,Footwear,32,South Dakota,L,Yellow,Summer,4.6,Yes,Bank Transfer,Express,Yes,29,Cash,Fortnightly
50,Male,Clothing,45,Kentucky,L,Orange,Fall,4.8,Yes,Bank Transfer,2-Day Shipping,Yes,27,Cash,Bi-Weekly
38,Male,Outerwear,76,Wyoming,M,Orange,Fall,4.3,Yes,Debit Card,Express,Yes,44,Cash,Annually
64,Male,Accessories,84,West Virginia,L,Red,Summer,4.0,Yes,PayPal,Express,Yes,32,Bank Transfer,Annually
19,Male,Clothing,72,Virginia,M,Olive,Winter,4.2,Yes,Cash,Standard,Yes,11,Cash,Fortnightly
40,Male,Accessories,40,Washington,L,Brown,Spring,4.8,Yes,Credit Card,2-Day Shipping,Yes,44,Cash,Fortnightly
57,Male,Clothing,89,Louisiana,L,Brown,Fall,3.1,Yes,Debit Card,Free Shipping,Yes,46,Cash,Weekly
44,Male,Clothing,86,Nevada,M,Gray,Spring,3.1,Yes,PayPal,Next Day Air,Yes,50,PayPal,Annually
49,Male,Clothing,54,California,M,Indigo,Winter,3.6,Yes,Cash,Next Day Air,Yes,45,Venmo,Every 3 Months
43,Male,Clothing,36,Mississippi,L,Pink,Spring,3.9,Yes,Bank Transfer,Store Pickup,Yes,48,Cash,Every 3 Months
24,Male,Clothing,89,Mississippi,M,Gray,Winter,4.8,Yes,Venmo,Next Day Air,Yes,26,Credit Card,Weekly
20,Male,Accessories,32,California,M,Gold,Spring,4.7,Yes,Venmo,Standard,Yes,21,Credit Card,Fortnightly
24,Male,Clothing,67,Pennsylvania,XL,Olive,Summer,4.2,Yes,Cash,2-Day Shipping,Yes,49,PayPal,Bi-Weekly
44,Male,Accessories,39,Kentucky,L,Violet,Fall,3.7,Yes,Credit Card,Next Day Air,Yes,13,PayPal,Fortnightly
28,Male,Clothing,29,Maine,L,Indigo,Summer,3.9,Yes,PayPal,Standard,Yes,46,Credit Card,Weekly
30,Male,Accessories,58,New Mexico,M,Orange,Fall,4.7,Yes,Bank Transfer,2-Day Shipping,Yes,42,PayPal,Weekly
52,Male,Clothing,65,Montana,M,Violet,Winter,2.5,Yes,Bank Transfer,Next Day Air,Yes,25,Venmo,Annually
43,Male,Accessories,94,Texas,L,Gray,Fall,4.9,Yes,Credit Card,Store Pickup,Yes,25,Cash,Monthly
43,Male,Footwear,81,Kansas,M,Purple,Fall,4.1,Yes,PayPal,Express,Yes,12,PayPal,Quarterly
39,Male,Clothing,86,South Carolina,M,White,Winter,3.3,Yes,Credit Card,Free Shipping,Yes,4,Debit Card,Quarterly
68,Male,Footwear,43,Colorado,M,Turquoise,Spring,4.7,Yes,Cash,Free Shipping,Yes,38,PayPal,Weekly
68,Male,Clothing,29,Georgia,M,Maroon,Winter,4.4,Yes,Cash,Store Pickup,Yes,42,Bank Transfer,Weekly
49,Male,Outerwear,95,Florida,M,White,Fall,3.8,Yes,Debit Card,Store Pickup,Yes,30,Venmo,Annually
63,Male,Clothing,28,North Carolina,L,Yellow,Fall,3.9,Yes,Bank Transfer,2-Day Shipping,Yes,50,Credit Card,Weekly
56,Male,Accessories,46,Virginia,M,Turquoise,Fall,4.9,Yes,PayPal,Free Shipping,Yes,45,PayPal,Weekly
37,Male,Outerwear,58,Nebraska,L,Violet,Fall,3.1,Yes,PayPal,Free Shipping,Yes,33,Credit Card,Fortnightly
30,Male,Outerwear,48,Missouri,M,Beige,Fall,2.7,Yes,Bank Transfer,Store Pickup,Yes,25,PayPal,Quarterly
19,Male,Footwear,43,New Jersey,M,Silver,Fall,3.2,Yes,Credit Card,Express,Yes,25,Cash,Monthly
24,Male,Accessories,95,Missouri,M,Teal,Fall,4.5,Yes,Venmo,Standard,Yes,44,Debit Card,Quarterly
52,Male,Clothing,30,Colorado,S,Black,Fall,4.0,Yes,Debit Card,Standard,Yes,21,Venmo,Fortnightly
63,Male,Footwear,64,Idaho,M,Purple,Summer,3.5,Yes,Bank Transfer,2-Day Shipping,Yes,31,Bank Transfer,Fortnightly
37,Male,Accessories,90,Wyoming,M,Gray,Fall,2.6,Yes,PayPal,Store Pickup,Yes,47,Debit Card,Annually
38,Male,Clothing,76,Delaware,M,White,Summer,3.2,Yes,Venmo,Free Shipping,Yes,14,PayPal,Monthly
35,Male,Footwear,96,California,L,Cyan,Fall,4.9,Yes,Bank Transfer,Standard,Yes,17,Debit Card,Every 3 Months
28,Male,Accessories,47,North Dakota,L,Turquoise,Fall,4.5,Yes,Debit Card,Next Day Air,Yes,3,Venmo,Annually
30,Male,Clothing,85,South Carolina,S,Brown,Summer,4.3,Yes,PayPal,Express,Yes,42,Venmo,Annually
69,Male,Clothing,55,North Carolina,M,Maroon,Winter,3.2,Yes,Debit Card,Standard,Yes,22,Debit Card,Annually
41,Male,Clothing,98,Oklahoma,M,Charcoal,Fall,3.6,Yes,Debit Card,Next Day Air,Yes,21,Venmo,Quarterly
63,Male,Clothing,77,Maine,S,Olive,Spring,4.3,Yes,Cash,Free Shipping,Yes,21,Bank Transfer,Quarterly
35,Male,Clothing,26,Missouri,M,Lavender,Fall,4.0,Yes,Venmo,Standard,Yes,40,Debit Card,Annually
36,Male,Accessories,68,Vermont,S,Yellow,Fall,3.0,Yes,Debit Card,Next Day Air,Yes,1,Bank Transfer,Fortnightly
25,Male,Clothing,73,Connecticut,XL,Teal,Fall,4.1,Yes,Bank Transfer,Standard,Yes,50,Bank Transfer,Monthly
58,Male,Accessories,27,New Hampshire,M,Charcoal,Fall,3.8,Yes,Debit Card,Store Pickup,Yes,39,Bank Transfer,Every 3 Months
27,Male,Accessories,23,Texas,M,Orange,Summer,4.6,Yes,Bank Transfer,Free Shipping,Yes,34,Venmo,Monthly
65,Male,Accessories,49,North Dakota,M,Olive,Fall,3.0,Yes,Venmo,Express,Yes,29,Venmo,Fortnightly
54,Male,Accessories,74,California,M,Turquoise,Summer,3.0,Yes,Credit Card,Store Pickup,Yes,31,PayPal,Bi-Weekly
54,Male,Clothing,67,Virginia,M,Purple,Summer,3.4,Yes,PayPal,Standard,Yes,8,Debit Card,Weekly
59,Male,Accessories,65,Delaware,S,Purple,Spring,2.6,Yes,Debit Card,Free Shipping,Yes,5,Credit Card,Fortnightly
42,Male,Accessories,60,Kentucky,S,Yellow,Winter,2.8,Yes,Credit Card,Store Pickup,Yes,7,Cash,Monthly
46,Male,Footwear,31,Delaware,XL,Indigo,Fall,4.0,Yes,Cash,Store Pickup,Yes,30,Cash,Monthly
33,Male,Accessories,27,Arkansas,M,Green,Fall,4.0,Yes,Venmo,Express,Yes,14,Credit Card,Every 3 Months
34,Male,Footwear,80,Louisiana,M,Magenta,Summer,3.0,Yes,Bank Transfer,Express,Yes,5,Cash,Fortnightly
27,Male,Outerwear,30,Nevada,S,Gold,Summer,3.3,Yes,Credit Card,Standard,Yes,3,PayPal,Every 3 Months
52,Male,Clothing,25,Wyoming,M,Maroon,Fall,2.6,Yes,Venmo,Store Pickup,Yes,46,Venmo,Bi-Weekly
29,Male,Clothing,35,Virginia,M,Blue,Summer,3.6,Yes,Debit Card,Store Pickup,Yes,4,Credit Card,Weekly
54,Male,Accessories,67,Nebraska,M,Violet,Summer,3.9,Yes,Bank Transfer,Next Day Air,Yes,42,Credit Card,Bi-Weekly
25,Male,Accessories,46,Hawaii,M,Turquoise,Fall,3.4,Yes,PayPal,Standard,Yes,30,Cash,Annually
41,Male,Footwear,35,Vermont,L,Brown,Winter,3.5,Yes,Venmo,Express,Yes,37,Venmo,Annually
53,Male,Outerwear,86,Oklahoma,L,Violet,Fall,2.8,Yes,Debit Card,Next Day Air,Yes,2,Bank Transfer,Annually
53,Male,Accessories,81,New Hampshire,L,Black,Spring,2.7,Yes,Bank Transfer,Next Day Air,Yes,30,Credit Card,Quarterly
21,Male,Clothing,42,Kansas,L,Magenta,Fall,3.7,Yes,Debit Card,Next Day Air,Yes,47,Bank Transfer,Monthly
61,Male,Clothing,43,Idaho,L,Lavender,Fall,4.3,Yes,Debit Card,2-Day Shipping,Yes,21,PayPal,Quarterly
64,Male,Footwear,31,Illinois,M,Violet,Fall,4.9,Yes,Debit Card,Store Pickup,Yes,9,Bank Transfer,Fortnightly
51,Male,Footwear,81,South Dakota,L,Green,Fall,3.3,Yes,Cash,Store Pickup,Yes,12,Debit Card,Fortnightly
32,Male,Clothing,61,Massachusetts,M,Beige,Summer,4.7,Yes,Venmo,Next Day Air,Yes,4,Bank Transfer,Weekly
38,Male,Accessories,96,Alabama,XL,Purple,Summer,2.8,Yes,Venmo,Store Pickup,Yes,10,Debit Card,Annually
58,Male,Clothing,29,Ohio,XL,Beige,Spring,3.6,Yes,Bank Transfer,2-Day Shipping,Yes,26,Credit Card,Weekly
32,Male,Footwear,33,Hawaii,L,Cyan,Spring,3.0,Yes,Cash,Express,Yes,40,Cash,Fortnightly
46,Male,Clothing,32,Wisconsin,XL,Silver,Summer,4.5,Yes,Bank Transfer,Store Pickup,Yes,34,Bank Transfer,Fortnightly
39,Male,Accessories,56,Minnesota,S,Lavender,Summer,2.9,Yes,Debit Card,Standard,Yes,31,Debit Card,Annually
19,Male,Footwear,94,Georgia,S,Purple,Spring,3.3,Yes,Credit Card,Store Pickup,Yes,1,Bank Transfer,Bi-Weekly
50,Male,Clothing,53,Arkansas,M,Pink,Spring,3.1,Yes,Credit Card,Express,Yes,5,Bank Transfer,Bi-Weekly
36,Male,Clothing,82,West Virginia,M,Maroon,Fall,4.4,Yes,Venmo,Next Day Air,Yes,4,Credit Card,Weekly
65,Male,Outerwear,70,Indiana,XL,Beige,Fall,3.0,Yes,Venmo,Free Shipping,Yes,48,Venmo,Quarterly
64,Male,Accessories,76,Utah,M,Gray,Fall,3.9,Yes,Credit Card,Free Shipping,Yes,29,Cash,Every 3 Months
46,Male,Footwear,29,Nebraska,L,Turquoise,Summer,2.9,Yes,Venmo,Express,Yes,12,PayPal,Bi-Weekly
36,Male,Accessories,100,North Dakota,S,Silver,Fall,3.0,Yes,PayPal,Standard,Yes,29,Venmo,Annually
51,Male,Accessories,94,Missouri,M,Olive,Spring,3.1,Yes,Venmo,Express,Yes,15,Debit Card,Quarterly
51,Male,Outerwear,25,New York,M,Magenta,Fall,4.3,Yes,Credit Card,Free Shipping,Yes,34,Credit Card,Monthly
38,Male,Footwear,88,Washington,M,Lavender,Summer,3.9,Yes,Cash,Next Day Air,Yes,41,Credit Card,Fortnightly
59,Male,Accessories,78,South Carolina,M,Black,Fall,3.2,Yes,Debit Card,2-Day Shipping,Yes,41,Credit Card,Monthly
57,Male,Accessories,45,Utah,M,Turquoise,Winter,4.8,Yes,Cash,Standard,Yes,39,Credit Card,Fortnightly
54,Male,Accessories,73,Idaho,XL,Green,Summer,3.8,Yes,Debit Card,Express,Yes,32,Cash,Weekly
25,Male,Clothing,61,Pennsylvania,S,Teal,Summer,3.3,Yes,PayPal,Next Day Air,Yes,29,Venmo,Monthly
69,Male,Clothing,22,Missouri,S,Beige,Fall,4.3,Yes,Bank Transfer,Free Shipping,Yes,15,Bank Transfer,Annually
57,Male,Accessories,38,Nebraska,L,Magenta,Spring,2.7,Yes,Bank Transfer,Express,Yes,33,Venmo,Annually
70,Male,Accessories,38,Indiana,S,Yellow,Fall,3.2,Yes,PayPal,Next Day Air,Yes,18,Bank Transfer,Weekly
24,Male,Footwear,100,Arizona,M,Yellow,Fall,4.0,Yes,PayPal,Store Pickup,Yes,35,Cash,Bi-Weekly
67,Male,Clothing,64,Hawaii,M,Silver,Winter,3.0,Yes,Bank Transfer,Standard,Yes,25,PayPal,Weekly
24,Male,Clothing,55,Wisconsin,L,Silver,Summer,4.2,Yes,Venmo,Free Shipping,Yes,6,Venmo,Fortnightly
62,Male,Accessories,91,Rhode Island,M,Silver,Summer,2.9,Yes,Venmo,Express,Yes,17,Bank Transfer,Bi-Weekly
57,Male,Clothing,38,Wisconsin,M,Gold,Spring,4.1,Yes,Cash,Store Pickup,Yes,17,Credit Card,Monthly
55,Male,Footwear,97,Minnesota,S,Olive,Winter,3.2,Yes,Bank Transfer,Store Pickup,Yes,44,Cash,Every 3 Months
45,Male,Outerwear,22,Vermont,L,Teal,Fall,3.0,Yes,Venmo,2-Day Shipping,Yes,6,PayPal,Fortnightly
